Machine Name,Lloyd LRX ,,1st,,,2nd,,,3rd,,,4th,,,5th,,,6th,
,50 N load cell at RT with a crosshead speed of 20 mm min−1 with 1-minute rest time,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,74.05,0.17,,66.97,0.16,,73.64,0.21,,67.34,0.16,,68.11,0.17,,67.07,0.16
,,,72.75,0.16,,65.72,0.15,,72.33,0.20,,66.09,0.15,,66.84,0.16,,65.82,0.15
,,,71.46,0.15,,64.48,0.14,,71.04,0.19,,64.86,0.14,,65.59,0.15,,64.59,0.14
,,,70.17,0.14,,63.26,0.13,,69.77,0.18,,63.62,0.14,,64.36,0.14,,63.36,0.13
,,,68.89,0.13,,62.03,0.12,,68.48,0.17,,62.40,0.13,,63.14,0.13,,62.13,0.13
,,,67.62,0.12,,60.83,0.11,,67.22,0.16,,61.19,0.12,,61.91,0.12,,60.92,0.12
,,,66.38,0.11,,59.63,0.10,,65.97,0.15,,59.99,0.11,,60.70,0.11,,59.73,0.11
,,,65.12,0.10,,58.45,0.10,,64.74,0.14,,58.79,0.10,,59.51,0.11,,58.54,0.10
,,,63.89,0.10,,57.26,0.09,,63.50,0.13,,57.62,0.09,,58.33,0.10,,57.35,0.09
,,,62.66,0.09,,56.10,0.08,,62.27,0.12,,56.45,0.08,,57.15,0.09,,56.19,0.08
,,,61.46,0.08,,54.95,0.07,,61.06,0.12,,55.30,0.08,,55.98,0.08,,55.04,0.07
,,,60.25,0.07,,53.81,0.07,,59.88,0.11,,54.14,0.07,,54.83,0.07,,53.90,0.07
,,,59.05,0.06,,52.66,0.06,,58.68,0.10,,53.01,0.06,,53.70,0.07,,52.75,0.06
,,,57.87,0.06,,51.54,0.05,,57.50,0.09,,51.88,0.05,,52.55,0.06,,51.63,0.05
,,,56.71,0.05,,50.44,0.04,,56.33,0.08,,50.77,0.05,,51.43,0.05,,50.53,0.05
,,,55.54,0.04,,49.34,0.04,,55.18,0.08,,49.66,0.04,,50.32,0.04,,49.42,0.04
,,,54.39,0.04,,48.24,0.03,,54.03,0.07,,48.57,0.03,,49.23,0.04,,48.32,0.03
,,,53.25,0.03,,47.16,0.02,,52.89,0.06,,47.49,0.03,,48.13,0.03,,47.25,0.02
,,,52.14,0.02,,46.10,0.01,,51.77,0.05,,46.42,0.02,,47.05,0.02,,46.19,0.02
,,,51.01,0.02,,45.04,0.01,,50.66,0.05,,45.35,0.01,,45.99,0.02,,45.12,0.01
,,,49.90,0.01,,43.99,0.00,,49.55,0.04,,44.30,0.00,,44.94,0.01,,44.07,0.00
,,,48.81,0.00,,42.95,0.00,,48.46,0.03,,43.27,0.00,,43.88,0.00,,43.03,0.00
,,,47.73,0.00,,41.93,0.00,,47.38,0.02,,42.24,0.00,,42.85,0.00,,42.02,0.00
