Machine Name,Lloyd LRX ,P40-HDO Undamaged,1,,,2,,,3,,,P40-HDO 3 hr Healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.47,0,,-0.54,0,,-0.45,-0.01,,,0,-0.02,,-0.55,0,,-0.27,-0.01
,,,138,0.53,,216.18,0.77,,123.4,0.64,,,63.14,0.42,,85.18,0.49,,72.76,0.4
,,,139.2,0.53,,217.99,0.77,,124.55,0.64,,,63.74,0.42,,85.96,0.49,,73.44,0.4
,,,140.39,0.54,,219.8,0.77,,125.7,0.65,,,64.34,0.43,,86.74,0.5,,74.12,0.4
,,,141.59,0.54,,221.61,0.77,,126.85,0.65,,,64.95,0.43,,87.52,0.5,,74.79,0.4
,,,142.78,0.54,,223.42,0.77,,128,0.65,,,65.55,0.43,,88.3,0.5,,75.47,0.4
,,,143.97,0.54,,225.23,0.78,,129.15,0.65,,,66.15,0.43,,89.07,0.5,,76.15,0.41
,,,145.17,0.54,,227.04,0.78,,130.3,0.66,,,66.76,0.43,,89.85,0.5,,76.83,0.41
,,,146.36,0.54,,228.84,0.78,,131.45,0.66,,,67.36,0.43,,90.63,0.51,,77.5,0.41
,,,147.56,0.55,,230.65,0.78,,132.6,0.66,,,67.96,0.44,,91.41,0.51,,78.18,0.41
,,,148.75,0.55,,232.46,0.79,,133.75,0.66,,,68.56,0.44,,92.19,0.51,,78.86,0.41
,,,149.95,0.55,,234.27,0.79,,134.9,0.66,,,69.17,0.44,,92.97,0.51,,79.54,0.41
,,,151.14,0.55,,236.08,0.79,,136.05,0.66,,,69.77,0.44,,93.75,0.51,,80.22,0.41
,,,152.33,0.55,,237.89,0.79,,137.2,0.67,,,70.37,0.44,,94.53,0.51,,80.89,0.41
,,,153.53,0.55,,239.7,0.79,,138.35,0.67,,,70.98,0.44,,95.3,0.51,,81.57,0.42
,,,154.72,0.56,,241.51,0.8,,139.5,0.67,,,71.58,0.44,,96.08,0.52,,82.25,0.42
,,,155.92,0.56,,243.32,0.8,,140.65,0.67,,,72.18,0.44,,96.86,0.52,,82.93,0.42
,,,157.11,0.56,,245.12,0.8,,141.8,0.67,,,72.79,0.44,,97.64,0.52,,83.61,0.42
,,,158.31,0.56,,246.93,0.8,,142.95,0.68,,,73.39,0.45,,98.42,0.52,,84.28,0.42
,,,159.5,0.56,,248.74,0.8,,144.1,0.68,,,73.99,0.45,,99.2,0.52,,84.96,0.42
