Machine Name,Lloyd LRX ,,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,118.76,2.38,,124.81,3.12,,115.58,2.7
,,,119.07,2.38,,125.16,3.12,,115.87,2.71
,,,119.38,2.38,,125.51,3.12,,116.17,2.71
,,,119.68,2.39,,125.86,3.12,,116.47,2.71
,,,119.99,2.39,,126.21,3.12,,116.76,2.71
,,,120.29,2.39,,126.56,3.13,,117.06,2.72
,,,120.6,2.39,,126.91,3.13,,117.36,2.72
,,,120.9,2.4,,127.26,3.13,,117.66,2.72
,,,121.21,2.4,,127.61,3.13,,117.95,2.72
,,,121.51,2.4,,127.96,3.13,,118.25,2.73
,,,121.82,2.4,,128.31,3.14,,118.55,2.73
,,,122.13,2.41,,128.66,3.14,,118.85,2.73
,,,122.43,2.41,,129.02,3.14,,119.14,2.73
,,,122.74,2.41,,129.37,3.14,,119.44,2.74
,,,123.04,2.41,,129.72,3.14,,119.74,2.74
,,,123.35,2.42,,130.07,3.14,,120.03,2.74
,,,123.65,2.42,,130.42,3.15,,120.33,2.74
,,,123.96,2.42,,130.77,3.15,,120.63,2.75
,,,124.27,2.42,,131.12,3.15,,120.93,2.75
,,,124.57,2.43,,131.47,3.15,,121.22,2.75
,,,124.88,2.43,,131.82,3.15,,121.52,2.75
,,,125.18,2.43,,132.17,3.15,,121.82,2.76
,,,125.49,2.44,,132.52,3.15,,122.12,2.76
,,,125.79,2.44,,132.87,3.15,,122.41,2.76
,,,126.1,2.44,,133.22,3.15,,122.71,2.76
,,,126.41,2.44,,133.57,3.15,,123.01,2.77
,,,126.71,2.45,,133.92,3.15,,123.31,2.77
,,,127.02,2.45,,134.28,3.15,,123.6,2.77
,,,127.32,2.45,,134.63,3.15,,123.9,2.77
,,,127.63,2.45,,134.98,3.15,,124.2,2.78
,,,127.93,2.46,,135.33,3.15,,124.49,2.78
,,,128.24,2.46,,135.68,3.15,,124.79,2.78
,,,128.55,2.46,,136.03,3.15,,125.09,2.78
,,,128.85,2.46,,136.38,3.15,,125.39,2.79
,,,129.16,2.47,,136.73,3.15,,125.68,2.79
,,,129.46,2.47,,137.08,3.15,,125.98,2.79
,,,129.77,2.47,,137.43,3.15,,126.28,2.79
,,,130.07,2.47,,137.78,3.15,,126.58,2.8
,,,130.38,2.48,,138.13,3.15,,126.87,2.8
,,,130.69,2.48,,138.48,3.15,,127.17,2.8
,,,130.99,2.48,,138.83,3.15,,127.47,2.81
,,,131.3,2.48,,139.18,3.15,,127.77,2.81
,,,131.6,2.49,,139.54,3.15,,128.06,2.81
,,,131.91,2.49,,139.89,3.15,,128.36,2.81
,,,132.21,2.49,,140.24,3.15,,128.66,2.82
,,,132.52,2.49,,140.59,3.16,,128.95,2.82
,,,132.83,2.5,,140.94,3.16,,129.25,2.82
,,,133.13,2.5,,141.29,3.16,,129.55,2.82
,,,133.44,2.5,,141.64,3.16,,129.85,2.83
,,,133.74,2.51,,141.99,3.16,,130.14,2.83
,,,134.05,2.51,,142.34,3.16,,130.44,2.83
,,,134.35,2.51,,142.69,3.16,,130.74,2.83
,,,134.66,2.51,,143.04,3.16,,131.04,2.84
,,,134.96,2.52,,143.39,3.16,,131.33,2.84
,,,135.27,2.52,,143.74,3.16,,131.63,2.84
,,,135.58,2.52,,144.09,3.16,,131.93,2.84
,,,135.88,2.52,,144.44,3.16,,132.23,2.85
,,,136.19,2.52,,144.8,3.16,,132.52,2.85
,,,136.49,2.53,,145.15,3.16,,132.82,2.85
,,,136.8,2.53,,145.5,3.16,,133.12,2.85
,,,137.1,2.53,,145.85,3.16,,133.41,2.86
,,,137.41,2.53,,146.2,3.16,,133.71,2.86
,,,137.72,2.53,,146.55,3.16,,134.01,2.86
,,,138.02,2.54,,146.9,3.16,,134.31,2.86
,,,138.33,2.54,,147.25,3.16,,134.6,2.87
,,,138.63,2.54,,147.6,3.16,,134.9,2.87
,,,138.94,2.54,,147.95,3.16,,135.2,2.87
,,,139.24,2.54,,148.3,3.16,,135.5,2.87
,,,139.55,2.55,,148.65,3.16,,135.79,2.88
,,,139.86,2.55,,149,3.16,,136.09,2.88
,,,140.16,2.55,,149.35,3.16,,136.39,2.88
,,,140.47,2.55,,149.71,3.16,,136.69,2.89
,,,140.77,2.55,,150.06,3.16,,136.98,2.89
,,,141.08,2.56,,150.41,3.16,,137.28,2.89
,,,141.38,2.56,,150.76,3.16,,137.58,2.89
,,,141.69,2.56,,151.11,3.16,,137.87,2.9
,,,142,2.56,,151.46,3.16,,138.17,2.9
,,,142.3,2.56,,151.81,3.16,,138.47,2.9
,,,142.61,2.57,,152.16,3.16,,138.77,2.9
