Machine Name,Lloyd LRX ,P35-1,,,P35-2,,,P35-3,,,P35-4,,,P40-1,,,P40-2,,,P40-3,,,P40-4,,,P45-1,,,P45-2,,,P45-3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,-3.15,0.01,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,1819.42,0.26,,1313.14,0.15,,1525.04,0.25,,1558.73,0.4,,973.05,0.41,,,,,1171.87,0.29,,992.12,0.33,,807.18,0.54,,808.56,0.53,,760.22,0.39
,,1822.76,0.26,,1315.56,0.15,,1527.84,0.25,,1561.6,0.4,,974.85,0.41,,,,,1174.04,0.29,,993.97,0.33,,808.68,0.54,,810.06,0.53,,761.63,0.4
,,1826.1,0.26,,1317.99,0.15,,1530.65,0.25,,1564.47,0.4,,976.65,0.41,,,,,1176.21,0.29,,995.81,0.33,,810.18,0.54,,811.57,0.53,,763.05,0.4
,,1829.45,0.26,,1320.42,0.15,,1533.46,0.25,,1567.34,0.4,,978.45,0.41,,,,,1178.37,0.29,,997.65,0.33,,811.67,0.54,,813.08,0.53,,764.46,0.4
,,1832.79,0.26,,1322.84,0.15,,1536.26,0.25,,1570.29,0.4,,980.25,0.41,,,,,1180.54,0.29,,999.5,0.33,,813.17,0.54,,814.58,0.53,,765.87,0.4
,,1836.13,0.26,,1325.27,0.15,,1539.07,0.25,,1573.16,0.4,,982.05,0.41,,,,,1182.71,0.29,,1001.34,0.33,,814.67,0.54,,816.09,0.53,,767.3,0.4
,,1839.48,0.26,,1327.7,0.15,,1541.93,0.25,,1576.03,0.4,,983.85,0.41,,,,,1184.82,0.29,,1003.18,0.33,,816.17,0.54,,817.59,0.53,,768.73,0.4
,,1842.82,0.26,,1330.12,0.14,,1544.8,0.25,,1578.9,0.39,,985.65,0.41,,,,,1186.95,0.29,,1005.02,0.33,,817.66,0.54,,819.1,0.53,,770.14,0.4
,,1846.17,0.26,,1332.55,0.14,,1547.6,0.25,,1581.77,0.39,,987.45,0.41,,,,,1189.11,0.29,,1006.87,0.33,,819.16,0.54,,820.61,0.53,,771.56,0.4
,,1849.51,0.26,,1334.97,0.14,,1550.4,0.25,,1584.64,0.39,,989.25,0.41,,,,,1191.28,0.29,,1008.71,0.33,,820.66,0.54,,822.11,0.53,,772.97,0.4
,,1852.86,0.26,,1337.4,0.14,,1553.21,0.25,,1587.51,0.39,,991.05,0.41,,,,,1193.44,0.29,,1010.55,0.33,,822.16,0.54,,823.62,0.53,,774.38,0.4
,,1856.2,0.26,,1339.83,0.14,,1556.01,0.25,,1590.38,0.39,,992.85,0.41,,,,,1195.61,0.29,,1012.4,0.33,,823.65,0.55,,825.13,0.53,,775.8,0.4
,,1859.54,0.26,,1342.25,0.14,,1558.81,0.25,,1593.25,0.39,,994.65,0.41,,,,,1197.77,0.29,,1014.24,0.33,,825.15,0.55,,826.64,0.53,,777.21,0.4
,,1862.88,0.26,,1344.68,0.14,,1561.61,0.25,,1596.12,0.39,,996.45,0.42,,,,,1199.94,0.29,,1016.08,0.33,,826.65,0.55,,828.15,0.53,,778.62,0.4
,,1866.22,0.26,,1347.11,0.14,,1564.41,0.24,,1599,0.39,,998.25,0.42,,,,,1202.1,0.29,,1017.93,0.34,,828.15,0.55,,829.66,0.53,,780.03,0.4
,,1869.56,0.26,,1349.53,0.14,,1567.21,0.24,,1601.87,0.39,,1000.05,0.42,,,,,1204.27,0.29,,1019.77,0.34,,829.65,0.55,,831.17,0.53,,781.45,0.4
,,1872.9,0.26,,1351.96,0.14,,1570,0.24,,1604.74,0.39,,1001.85,0.42,,,,,1206.43,0.29,,1021.61,0.34,,831.15,0.55,,832.68,0.54,,782.86,0.4
,,1876.24,0.26,,1354.39,0.14,,1572.8,0.24,,1607.61,0.39,,1003.65,0.42,,,,,1208.6,0.29,,1023.46,0.34,,832.64,0.55,,834.19,0.54,,784.27,0.4
,,1879.58,0.26,,1356.81,0.14,,1575.61,0.24,,1610.48,0.39,,1005.45,0.42,,,,,1210.76,0.29,,1025.3,0.34,,834.14,0.55,,835.69,0.54,,785.69,0.4
,,1882.92,0.26,,1359.24,0.14,,1578.42,0.24,,1613.35,0.39,,1007.25,0.42,,,,,1212.93,0.29,,1027.14,0.34,,835.64,0.55,,837.2,0.54,,787.1,0.4
,,1886.26,0.26,,1361.67,0.14,,1581.23,0.24,,1616.22,0.39,,1009.05,0.42,,,,,1215.09,0.29,,1028.99,0.34,,837.14,0.55,,838.71,0.54,,788.51,0.4
,,1889.6,0.26,,1364.09,0.14,,1584.04,0.24,,1619.09,0.39,,1010.85,0.42,,,,,1217.26,0.29,,1030.83,0.34,,838.64,0.55,,840.22,0.54,,789.92,0.4
,,1892.93,0.26,,1366.52,0.14,,1586.85,0.24,,1621.96,0.39,,1012.65,0.42,,,,,1219.43,0.29,,1032.67,0.34,,840.14,0.55,,841.73,0.54,,791.34,0.4
,,1896.27,0.26,,1368.95,0.14,,1589.66,0.24,,1624.83,0.39,,1014.45,0.42,,,,,1221.59,0.29,,1034.52,0.34,,841.64,0.55,,843.24,0.54,,792.75,0.4
,,1899.61,0.26,,1371.37,0.14,,1592.47,0.24,,1627.7,0.39,,1016.25,0.42,,,,,1223.76,0.29,,1036.36,0.34,,843.14,0.55,,844.75,0.54,,794.16,0.4
,,1902.95,0.26,,1373.8,0.14,,1595.28,0.24,,1630.57,0.39,,1018.05,0.42,,,,,1225.92,0.29,,1038.2,0.34,,844.63,0.55,,846.26,0.54,,795.58,0.4
,,1906.29,0.26,,1376.22,0.14,,1598.09,0.24,,1633.44,0.39,,1019.85,0.42,,,,,1228.09,0.29,,1040.05,0.34,,846.13,0.55,,847.77,0.54,,796.99,0.4
,,1909.63,0.26,,1378.65,0.14,,1600.9,0.24,,1636.31,0.39,,1021.65,0.42,,,,,1230.26,0.29,,1041.89,0.34,,847.63,0.55,,849.28,0.54,,798.4,0.4
,,1912.97,0.26,,1381.08,0.14,,1603.71,0.24,,1639.18,0.39,,1023.45,0.42,,,,,1232.43,0.29,,1043.73,0.34,,849.13,0.55,,850.79,0.54,,799.81,0.4
,,1916.31,0.26,,1383.5,0.14,,1606.52,0.24,,1642.05,0.39,,1025.25,0.42,,,,,1234.6,0.29,,1045.58,0.34,,850.63,0.55,,852.3,0.54,,801.23,0.4
,,1919.65,0.26,,1385.93,0.14,,1609.33,0.24,,1644.93,0.39,,1027.05,0.42,,,,,1236.77,0.29,,1047.42,0.34,,852.13,0.55,,853.8,0.54,,802.64,0.4
,,1922.99,0.26,,1388.36,0.14,,1612.14,0.24,,1647.8,0.39,,1028.85,0.42,,,,,1238.94,0.29,,1049.26,0.34,,853.63,0.55,,855.3,0.54,,804.05,0.4
,,1926.33,0.26,,1390.78,0.14,,1614.95,0.24,,1650.67,0.39,,1030.65,0.42,,,,,1241.1,0.29,,1051.11,0.34,,855.12,0.55,,856.8,0.54,,805.47,0.4
,,1929.67,0.26,,1393.21,0.14,,1617.76,0.24,,1653.54,0.39,,1032.45,0.42,,,,,1243.27,0.29,,1052.95,0.34,,856.62,0.55,,858.3,0.54,,806.88,0.4
,,1933.01,0.26,,1395.64,0.14,,1620.57,0.24,,1656.41,0.39,,1034.25,0.42,,,,,1245.44,0.29,,1054.79,0.34,,858.12,0.55,,859.81,0.54,,808.29,0.4
,,1936.35,0.26,,1398.06,0.14,,1623.38,0.24,,1659.28,0.39,,1036.05,0.42,,,,,1247.61,0.29,,1056.64,0.34,,859.62,0.55,,861.31,0.54,,809.7,0.4
,,1939.69,0.26,,1400.49,0.14,,1626.19,0.24,,1662.15,0.39,,1037.85,0.42,,,,,1249.78,0.29,,1058.48,0.34,,861.12,0.56,,862.81,0.54,,811.12,0.4
,,1943.03,0.26,,1402.92,0.14,,1628.99,0.24,,1665.02,0.39,,1039.65,0.42,,,,,1251.95,0.29,,1060.32,0.34,,862.62,0.56,,864.31,0.54,,812.53,0.4
,,1946.37,0.26,,1405.35,0.14,,1631.8,0.24,,1667.89,0.39,,1041.45,0.42,,,,,1254.12,0.29,,1062.17,0.34,,864.12,0.56,,865.81,0.54,,813.94,0.4
,,1949.7,0.26,,1407.77,0.14,,1634.61,0.24,,1670.76,0.39,,1043.25,0.42,,,,,1256.29,0.29,,1064.01,0.34,,865.61,0.56,,867.31,0.54,,815.36,0.4
,,1953.04,0.26,,1410.2,0.14,,1637.42,0.24,,1673.63,0.38,,1045.05,0.42,,,,,1258.46,0.29,,1065.85,0.34,,867.11,0.56,,868.81,0.54,,816.77,0.4
,,1956.38,0.26,,1412.63,0.14,,1640.23,0.24,,1676.5,0.38,,1046.85,0.42,,,,,1260.62,0.29,,1067.69,0.34,,868.61,0.56,,870.31,0.54,,818.18,0.41
,,1959.72,0.26,,1415.06,0.14,,1643.03,0.24,,1679.36,0.38,,1048.65,0.42,,,,,1262.79,0.29,,1069.54,0.34,,870.11,0.56,,871.82,0.54,,819.59,0.41
,,1963.06,0.26,,1417.49,0.14,,1645.84,0.24,,1682.23,0.38,,1050.45,0.42,,,,,1264.96,0.29,,1071.38,0.34,,871.61,0.56,,873.32,0.54,,821.01,0.41
,,1966.4,0.26,,1419.91,0.14,,1648.65,0.24,,1685.1,0.38,,1052.25,0.42,,,,,1267.12,0.29,,1073.22,0.34,,873.11,0.56,,874.82,0.54,,822.42,0.41
,,1969.74,0.26,,1422.34,0.14,,1651.46,0.24,,1687.97,0.38,,1054.05,0.42,,,,,1269.29,0.29,,1075.07,0.34,,874.61,0.56,,876.33,0.54,,823.83,0.41
,,1973.08,0.26,,1424.77,0.14,,1654.27,0.24,,1690.84,0.38,,1055.85,0.42,,,,,1271.45,0.29,,1076.91,0.34,,876.11,0.56,,877.84,0.54,,825.25,0.41
,,1976.42,0.26,,1427.2,0.14,,1657.08,0.24,,1693.71,0.38,,1057.65,0.42,,,,,1273.62,0.29,,1078.75,0.34,,877.61,0.56,,879.34,0.54,,826.66,0.41
,,1979.76,0.26,,1429.63,0.14,,1659.88,0.24,,1696.57,0.38,,1059.45,0.42,,,,,1275.79,0.29,,1080.6,0.34,,879.11,0.56,,880.85,0.54,,828.07,0.41
,,1983.1,0.26,,1432.06,0.14,,1662.69,0.24,,1699.44,0.38,,1061.25,0.42,,,,,1277.95,0.29,,1082.44,0.34,,880.61,0.56,,882.36,0.54,,829.48,0.41
,,1986.44,0.26,,1434.49,0.14,,1665.5,0.24,,1702.31,0.38,,1063.05,0.42,,,,,1280.12,0.29,,1084.28,0.34,,882.11,0.56,,883.86,0.54,,830.9,0.41
,,1989.78,0.26,,1436.92,0.14,,1668.31,0.24,,1705.18,0.38,,1064.85,0.42,,,,,1282.28,0.29,,1086.13,0.34,,883.61,0.56,,885.37,0.54,,832.31,0.41
,,1993.12,0.26,,1439.35,0.14,,1671.12,0.23,,1708.05,0.38,,1066.65,0.42,,,,,1284.45,0.29,,1087.97,0.34,,885.11,0.56,,886.88,0.54,,833.72,0.41
,,1996.46,0.26,,1441.78,0.14,,1673.92,0.23,,1710.92,0.38,,1068.45,0.42,,,,,1286.62,0.29,,1089.81,0.34,,886.61,0.56,,888.38,0.54,,835.14,0.41
,,1999.8,0.26,,1444.21,0.14,,1676.73,0.23,,1713.78,0.38,,1070.25,0.42,,,,,1288.78,0.28,,1091.66,0.34,,888.11,0.56,,889.89,0.54,,836.55,0.41
,,2003.13,0.26,,1446.64,0.14,,1679.57,0.23,,1716.65,0.38,,1072.05,0.42,,,,,1290.95,0.28,,1093.5,0.34,,889.61,0.56,,891.4,0.54,,837.96,0.41
,,2006.47,0.26,,1449.07,0.14,,1682.41,0.23,,1719.52,0.38,,1073.85,0.42,,,,,1293.11,0.28,,1095.34,0.34,,891.11,0.56,,892.9,0.54,,839.37,0.41
,,2009.81,0.26,,1451.5,0.14,,1685.22,0.23,,1722.39,0.38,,1075.65,0.42,,,,,1295.28,0.28,,1097.19,0.34,,892.61,0.56,,894.41,0.54,,840.78,0.41
,,2013.15,0.26,,1453.93,0.14,,1688.03,0.23,,1725.26,0.38,,1077.45,0.42,,,,,1297.45,0.28,,1099.03,0.34,,894.11,0.56,,895.92,0.54,,842.19,0.41
,,2016.49,0.26,,1456.36,0.14,,1690.84,0.23,,1728.13,0.38,,1079.25,0.42,,,,,1299.61,0.28,,1100.87,0.34,,895.61,0.56,,897.42,0.54,,843.61,0.41
,,2019.83,0.26,,1458.79,0.14,,1693.65,0.23,,1730.99,0.38,,1081.05,0.42,,,,,1301.78,0.28,,1102.72,0.34,,897.11,0.56,,898.93,0.54,,845.02,0.41
,,2023.17,0.26,,1461.22,0.14,,1696.46,0.23,,1733.86,0.38,,1082.85,0.42,,,,,1303.94,0.28,,1104.56,0.34,,898.62,0.56,,900.44,0.54,,846.43,0.41
,,2026.51,0.26,,1463.65,0.14,,1699.27,0.23,,1736.73,0.38,,1084.65,0.42,,,,,1306.11,0.28,,1106.4,0.34,,900.12,0.56,,901.94,0.54,,847.84,0.41
,,2029.85,0.26,,1466.08,0.14,,1702.07,0.23,,1739.6,0.38,,1086.45,0.42,,,,,1308.27,0.28,,1108.25,0.34,,901.62,0.56,,903.45,0.54,,849.25,0.41
,,2033.19,0.26,,1468.51,0.14,,1704.88,0.23,,1742.47,0.38,,1088.25,0.42,,,,,1310.44,0.28,,1110.09,0.34,,903.12,0.56,,904.96,0.54,,850.66,0.41
,,2036.53,0.26,,1470.94,0.14,,1707.69,0.23,,1745.34,0.38,,1090.05,0.42,,,,,1312.61,0.28,,1111.93,0.34,,904.62,0.56,,906.46,0.54,,852.07,0.41
,,2039.87,0.26,,1473.37,0.14,,1710.5,0.23,,1748.2,0.38,,1091.85,0.42,,,,,1314.77,0.28,,1113.77,0.34,,906.12,0.56,,907.97,0.54,,853.48,0.41
,,2043.15,0.26,,1475.8,0.14,,1713.31,0.23,,1751.07,0.38,,1093.65,0.42,,,,,1316.94,0.28,,1115.62,0.34,,907.62,0.57,,909.48,0.54,,854.89,0.41
,,2046.46,0.26,,1478.23,0.14,,1716.12,0.23,,1753.94,0.38,,1095.45,0.42,,,,,1319.1,0.28,,1117.46,0.34,,909.12,0.57,,910.98,0.54,,856.3,0.41
,,2049.8,0.26,,1480.66,0.14,,1718.93,0.23,,1756.81,0.38,,1097.25,0.42,,,,,1321.27,0.28,,1119.3,0.34,,910.62,0.57,,912.49,0.54,,857.71,0.41
,,2053.14,0.26,,1483.09,0.14,,1721.74,0.23,,1759.68,0.38,,1099.05,0.42,,,,,1323.44,0.28,,1121.15,0.34,,912.12,0.57,,913.99,0.54,,859.12,0.41
,,2056.48,0.26,,1485.52,0.14,,1724.55,0.23,,1762.55,0.38,,1100.85,0.42,,,,,1325.6,0.28,,1122.99,0.34,,913.62,0.57,,915.5,0.54,,860.53,0.41
,,2059.82,0.26,,1487.95,0.14,,1727.36,0.23,,1765.42,0.38,,1102.65,0.42,,,,,1327.77,0.28,,1124.83,0.34,,915.12,0.57,,917.01,0.54,,861.94,0.41
,,2063.16,0.26,,1490.38,0.14,,1730.17,0.23,,1768.28,0.38,,1104.45,0.42,,,,,1329.93,0.28,,1126.68,0.34,,916.62,0.57,,918.51,0.54,,863.35,0.41
,,2066.5,0.26,,1492.81,0.14,,1732.98,0.23,,1771.15,0.38,,1106.25,0.42,,,,,1332.1,0.28,,1128.52,0.34,,918.12,0.57,,920.02,0.54,,864.76,0.41
,,2069.84,0.26,,1495.24,0.14,,1735.79,0.23,,1774.02,0.37,,1108.05,0.42,,,,,1334.26,0.28,,1130.35,0.34,,919.62,0.57,,921.53,0.54,,866.17,0.41
,,2073.18,0.25,,1497.67,0.14,,1738.6,0.23,,1776.88,0.37,,1109.85,0.42,,,,,1336.43,0.28,,1132.18,0.34,,921.12,0.57,,923.03,0.54,,867.58,0.41
,,2076.52,0.25,,1500.1,0.14,,1741.41,0.22,,1779.75,0.37,,1111.65,0.42,,,,,1338.59,0.28,,1134.02,0.34,,922.62,0.57,,924.54,0.54,,868.99,0.41
,,2079.86,0.25,,1502.53,0.14,,1744.22,0.22,,1782.61,0.37,,1113.45,0.42,,,,,1340.76,0.28,,1135.86,0.34,,924.2,0.57,,926.05,0.54,,870.4,0.41
,,2083.2,0.25,,1504.96,0.14,,1747.03,0.22,,1785.48,0.37,,1115.25,0.42,,,,,1342.92,0.28,,1137.7,0.34,,925.73,0.57,,927.55,0.54,,871.81,0.41
,,2086.54,0.25,,1507.39,0.14,,1749.84,0.22,,1788.34,0.37,,1117.05,0.42,,,,,1345.09,0.28,,1139.55,0.34,,927.23,0.57,,929.06,0.54,,873.22,0.41
,,2089.88,0.25,,1509.82,0.14,,1752.64,0.22,,1791.21,0.37,,1118.85,0.42,,,,,1347.25,0.28,,1141.39,0.34,,928.73,0.57,,930.57,0.54,,874.64,0.41
,,2093.22,0.25,,1512.25,0.14,,1755.45,0.22,,1794.07,0.37,,1120.65,0.42,,,,,1349.42,0.28,,1143.23,0.34,,930.23,0.57,,932.07,0.54,,876.05,0.41
,,2096.56,0.25,,1514.68,0.14,,1758.26,0.22,,1796.94,0.37,,1122.45,0.42,,,,,1351.58,0.28,,1145.08,0.34,,931.73,0.57,,933.58,0.54,,877.46,0.42
,,2099.9,0.25,,1517.11,0.14,,1761.07,0.22,,1799.8,0.37,,1124.25,0.42,,,,,1353.75,0.28,,1146.92,0.34,,933.23,0.57,,935.09,0.54,,878.87,0.42
,,2103.23,0.25,,1519.54,0.14,,1763.88,0.22,,1802.67,0.37,,1126.05,0.42,,,,,1355.92,0.28,,1148.76,0.34,,934.73,0.57,,936.59,0.54,,880.28,0.42
,,2106.57,0.25,,1521.97,0.14,,1766.69,0.22,,1805.54,0.37,,1127.85,0.42,,,,,1358.08,0.28,,1150.6,0.34,,936.23,0.57,,938.1,0.54,,881.69,0.42
,,2109.91,0.25,,1524.4,0.14,,1769.5,0.22,,1808.4,0.37,,1129.65,0.42,,,,,1360.25,0.28,,1152.45,0.34,,937.73,0.57,,939.61,0.54,,883.11,0.42
,,2113.24,0.25,,1526.83,0.14,,1772.31,0.22,,1811.27,0.37,,1131.46,0.42,,,,,1362.41,0.28,,1154.29,0.34,,939.23,0.57,,941.11,0.54,,884.52,0.42
,,2116.58,0.25,,1529.26,0.13,,1775.12,0.22,,1814.13,0.37,,1133.26,0.42,,,,,1364.58,0.28,,1156.13,0.34,,940.73,0.57,,942.63,0.54,,885.93,0.42
,,2119.92,0.25,,1531.69,0.13,,1777.93,0.22,,1817,0.37,,1135.06,0.42,,,,,1366.74,0.28,,1157.98,0.34,,942.23,0.57,,944.14,0.54,,887.34,0.42
,,2123.25,0.25,,1534.12,0.13,,1780.74,0.22,,1819.86,0.37,,1136.86,0.42,,,,,1368.91,0.28,,1159.82,0.34,,943.73,0.57,,945.66,0.54,,888.76,0.42
,,2126.59,0.25,,1536.55,0.13,,1783.55,0.22,,1822.73,0.37,,1138.66,0.42,,,,,1371.07,0.28,,1161.66,0.34,,945.23,0.57,,947.17,0.54,,890.17,0.42
,,2129.93,0.25,,1538.98,0.13,,1786.36,0.22,,1825.6,0.37,,1140.46,0.42,,,,,1373.24,0.28,,1163.51,0.34,,946.73,0.57,,948.68,0.54,,891.58,0.42
,,2133.26,0.25,,1541.41,0.13,,1789.18,0.22,,1828.46,0.37,,1142.26,0.42,,,,,1375.4,0.28,,1165.35,0.34,,948.23,0.57,,950.17,0.54,,893,0.42
,,2136.6,0.25,,1543.84,0.13,,1791.99,0.22,,1831.33,0.37,,1144.06,0.42,,,,,1377.57,0.28,,1167.19,0.34,,949.73,0.57,,951.66,0.54,,894.41,0.42
,,2139.94,0.25,,1546.27,0.13,,1794.81,0.22,,1834.2,0.37,,1145.86,0.42,,,,,1379.73,0.28,,1169.03,0.34,,951.23,0.57,,953.15,0.54,,895.82,0.42
,,2143.27,0.25,,1548.63,0.13,,1797.62,0.22,,1837.06,0.37,,1147.66,0.42,,,,,1381.9,0.28,,1170.88,0.34,,952.73,0.57,,954.64,0.54,,897.23,0.42
,,2146.61,0.25,,1551.06,0.13,,1800.43,0.22,,1839.93,0.37,,1149.46,0.42,,,,,1384.06,0.28,,1172.72,0.34,,954.23,0.58,,956.15,0.55,,898.65,0.42
,,2149.95,0.25,,1553.49,0.13,,1803.25,0.22,,1842.8,0.37,,1151.27,0.42,,,,,1386.23,0.28,,1174.56,0.34,,955.73,0.58,,957.65,0.55,,900.06,0.42
,,2153.29,0.25,,1555.91,0.13,,1806.06,0.22,,1845.67,0.37,,1153.07,0.42,,,,,1388.39,0.28,,1176.41,0.34,,957.23,0.58,,959.16,0.55,,901.47,0.42
,,2156.63,0.25,,1558.34,0.13,,1808.87,0.22,,1848.54,0.37,,1154.87,0.42,,,,,1390.56,0.28,,1178.25,0.34,,958.73,0.58,,960.66,0.55,,902.89,0.42
,,2159.97,0.25,,1560.77,0.13,,1811.69,0.22,,1851.42,0.37,,1156.67,0.42,,,,,1392.73,0.28,,1180.09,0.34,,960.23,0.58,,962.17,0.55,,904.3,0.42
,,2163.31,0.25,,1563.2,0.13,,1814.5,0.22,,1854.29,0.37,,1158.47,0.42,,,,,1394.89,0.27,,1181.93,0.34,,961.73,0.58,,963.67,0.55,,905.71,0.42
,,2166.64,0.25,,1565.62,0.13,,1817.31,0.22,,1857.17,0.37,,1160.27,0.42,,,,,1397.06,0.27,,1183.78,0.34,,963.23,0.58,,965.18,0.55,,907.12,0.42
,,2169.98,0.25,,1568.05,0.13,,1820.11,0.21,,1860.04,0.37,,1162.07,0.42,,,,,1399.22,0.27,,1185.62,0.34,,964.73,0.58,,966.68,0.55,,908.54,0.42
,,2173.32,0.25,,1570.48,0.13,,1822.92,0.21,,1862.92,0.37,,1163.87,0.42,,,,,1401.39,0.27,,1187.46,0.34,,966.23,0.58,,968.19,0.55,,909.95,0.42
,,2176.66,0.25,,1572.91,0.13,,1825.72,0.21,,1865.79,0.37,,1165.68,0.42,,,,,1403.55,0.27,,1189.31,0.34,,967.73,0.58,,969.7,0.55,,911.36,0.42
,,2180,0.25,,1575.34,0.13,,1828.52,0.21,,1868.67,0.37,,1167.48,0.42,,,,,1405.72,0.27,,1191.15,0.34,,969.23,0.58,,971.2,0.55,,912.78,0.42
,,2183.34,0.25,,1577.76,0.13,,1831.33,0.21,,1871.54,0.37,,1169.28,0.42,,,,,1407.88,0.27,,1192.99,0.34,,970.73,0.58,,972.71,0.55,,914.19,0.42
,,2186.68,0.25,,1580.19,0.13,,1834.13,0.21,,1874.42,0.37,,1171.08,0.42,,,,,1410.04,0.27,,1194.83,0.34,,972.23,0.58,,974.21,0.55,,915.6,0.42
,,2190.02,0.25,,1582.62,0.13,,1836.94,0.21,,1877.29,0.37,,1172.88,0.42,,,,,1412.21,0.27,,1196.68,0.34,,973.73,0.58,,975.72,0.55,,917.01,0.42
,,2193.36,0.25,,1585.05,0.13,,1839.75,0.21,,1880.16,0.36,,1174.69,0.42,,,,,1414.37,0.27,,1198.52,0.34,,975.23,0.58,,977.22,0.55,,918.43,0.42
,,2196.69,0.25,,1587.47,0.13,,1842.55,0.21,,1883.03,0.36,,1176.49,0.42,,,,,1416.53,0.27,,1200.36,0.34,,976.73,0.58,,978.73,0.55,,919.84,0.42
,,2200.03,0.25,,1589.9,0.13,,1845.36,0.21,,1885.9,0.36,,1178.29,0.42,,,,,1418.7,0.27,,1202.21,0.34,,978.23,0.58,,980.23,0.55,,921.25,0.42
,,2203.37,0.25,,1592.33,0.13,,1848.17,0.21,,1888.76,0.36,,1180.09,0.42,,,,,1420.86,0.27,,1204.05,0.34,,979.73,0.58,,981.74,0.55,,922.67,0.42
,,2206.7,0.25,,1594.76,0.13,,1850.98,0.21,,1891.63,0.36,,1181.9,0.42,,,,,1423.03,0.27,,1205.89,0.35,,981.23,0.58,,983.25,0.55,,924.08,0.42
,,2210.04,0.25,,1597.19,0.13,,1853.79,0.21,,1894.5,0.36,,1183.7,0.42,,,,,1425.19,0.27,,1207.73,0.35,,982.73,0.58,,984.75,0.55,,925.49,0.42
,,2213.38,0.25,,1599.61,0.13,,1856.6,0.21,,1897.37,0.36,,1185.5,0.42,,,,,1427.35,0.27,,1209.58,0.35,,984.23,0.58,,986.26,0.55,,926.9,0.42
,,2216.71,0.25,,1602.04,0.13,,1859.4,0.21,,1900.24,0.36,,1187.3,0.42,,,,,1429.52,0.27,,1211.42,0.35,,985.73,0.58,,987.76,0.55,,928.32,0.42
,,2220.05,0.25,,1604.47,0.13,,1862.21,0.21,,1903.11,0.36,,1189.1,0.42,,,,,1431.68,0.27,,1213.26,0.35,,987.23,0.58,,989.27,0.55,,929.73,0.42
,,2223.39,0.25,,1606.9,0.13,,1865.02,0.21,,1905.97,0.36,,1190.91,0.42,,,,,1433.84,0.27,,1215.11,0.35,,988.73,0.58,,990.77,0.55,,931.14,0.42
,,2226.73,0.25,,1609.32,0.13,,1867.83,0.21,,1908.84,0.36,,1192.71,0.42,,,,,1436.01,0.27,,1216.95,0.35,,990.23,0.58,,992.28,0.55,,932.56,0.42
,,2230.06,0.25,,1611.75,0.13,,1870.64,0.21,,1911.71,0.36,,1194.51,0.42,,,,,1438.17,0.27,,1218.79,0.35,,991.73,0.58,,993.78,0.55,,933.97,0.42
,,2233.4,0.25,,1614.18,0.13,,1873.45,0.21,,1914.58,0.36,,1196.31,0.42,,,,,1440.33,0.27,,1220.63,0.35,,993.24,0.58,,995.29,0.54,,935.38,0.42
,,2236.74,0.25,,1616.6,0.13,,1876.25,0.21,,1917.45,0.36,,1198.11,0.42,,,,,1442.5,0.27,,1222.48,0.35,,994.74,0.58,,996.79,0.54,,936.79,0.42
,,2240.07,0.25,,1619.03,0.13,,1879.06,0.21,,1920.31,0.36,,1199.92,0.42,,,,,1444.66,0.27,,1224.32,0.35,,996.24,0.58,,998.3,0.54,,938.21,0.42
,,2243.41,0.25,,1621.45,0.13,,1881.87,0.21,,1923.18,0.36,,1201.71,0.42,,,,,1446.83,0.27,,1226.16,0.35,,997.74,0.58,,999.81,0.54,,939.62,0.42
,,2246.75,0.25,,1623.88,0.13,,1884.68,0.21,,1926.05,0.36,,1203.5,0.42,,,,,1449,0.27,,1228.01,0.35,,999.24,0.58,,1001.31,0.54,,941.03,0.42
,,2250.08,0.25,,1626.3,0.13,,1887.49,0.21,,1928.92,0.36,,1205.28,0.42,,,,,1451.16,0.27,,1229.85,0.35,,1000.74,0.59,,1002.82,0.54,,942.45,0.42
,,2253.42,0.25,,1628.73,0.13,,1890.3,0.21,,1931.79,0.36,,1207.07,0.42,,,,,1453.33,0.27,,1231.69,0.35,,1002.24,0.59,,1004.32,0.54,,943.86,0.43
,,2256.76,0.25,,1631.15,0.13,,1893.1,0.21,,1934.65,0.36,,1208.86,0.42,,,,,1455.5,0.27,,1233.53,0.35,,1003.74,0.59,,1005.83,0.54,,945.27,0.43
,,2260.1,0.25,,1633.58,0.13,,1895.91,0.21,,1937.52,0.36,,1210.65,0.42,,,,,1457.67,0.27,,1235.38,0.35,,1005.24,0.59,,1007.33,0.54,,946.68,0.43
,,2263.43,0.25,,1636,0.13,,1898.72,0.21,,1940.39,0.36,,1212.45,0.42,,,,,1459.84,0.27,,1237.22,0.35,,1006.74,0.59,,1008.84,0.54,,948.1,0.43
,,2266.85,0.25,,1638.43,0.13,,1901.53,0.21,,1943.26,0.36,,1214.25,0.42,,,,,1462,0.27,,1239.06,0.35,,1008.24,0.59,,1010.35,0.54,,949.51,0.43
