Machine Name,Lloyd LRX ,P35-1,,,P35-2,,,P35-3,,,P35-4,,,P40-1,,,P40-2,,,P40-3,,,P40-4,,,P45-1,,,P45-2,,,P45-3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,-3.15,0.01,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,360.22,0.21,,252.38,0.15,,297.52,0.21,,305.04,0.31,,186.33,0.3,,,,,225.33,0.33,,186.79,0.29,,151.29,0.38,,150.46,0.38,,142.94,0.3
,,363.56,0.21,,254.81,0.15,,300.33,0.21,,307.91,0.31,,188.13,0.3,,,,,227.5,0.33,,188.64,0.29,,152.79,0.38,,151.97,0.38,,144.36,0.3
,,366.9,0.21,,257.24,0.15,,303.14,0.21,,310.78,0.31,,189.93,0.3,,,,,229.67,0.33,,190.48,0.29,,154.3,0.38,,153.48,0.38,,145.77,0.3
,,370.24,0.21,,259.66,0.15,,305.95,0.21,,313.65,0.31,,191.73,0.31,,,,,231.83,0.33,,192.32,0.29,,155.8,0.38,,154.98,0.38,,147.18,0.3
,,373.58,0.21,,262.09,0.15,,308.76,0.21,,316.52,0.31,,193.53,0.31,,,,,234,0.33,,194.16,0.29,,157.3,0.38,,156.49,0.38,,148.59,0.3
,,376.92,0.21,,264.52,0.15,,311.57,0.21,,319.39,0.31,,195.33,0.31,,,,,236.17,0.33,,196.01,0.29,,158.8,0.38,,158,0.38,,150.01,0.3
,,380.26,0.21,,266.95,0.15,,314.38,0.21,,322.25,0.31,,197.13,0.31,,,,,238.33,0.33,,197.85,0.29,,160.3,0.38,,159.5,0.38,,151.42,0.3
,,383.6,0.21,,269.38,0.15,,317.19,0.21,,325.12,0.31,,198.93,0.31,,,,,240.5,0.33,,199.69,0.29,,161.8,0.38,,161.01,0.38,,152.83,0.3
,,386.94,0.21,,271.81,0.15,,319.99,0.21,,327.99,0.31,,200.73,0.31,,,,,242.66,0.33,,201.54,0.29,,163.3,0.38,,162.51,0.38,,154.24,0.3
,,390.28,0.21,,274.23,0.15,,322.8,0.21,,330.86,0.31,,202.53,0.31,,,,,244.83,0.33,,203.38,0.29,,164.81,0.38,,164.02,0.38,,155.66,0.3
,,393.62,0.21,,276.66,0.15,,325.61,0.21,,333.73,0.31,,204.33,0.31,,,,,247,0.33,,205.22,0.29,,166.31,0.38,,165.53,0.38,,157.07,0.3
,,396.96,0.21,,279.09,0.15,,328.42,0.21,,336.6,0.31,,206.13,0.31,,,,,249.16,0.33,,207.07,0.29,,167.81,0.38,,167.03,0.38,,158.48,0.3
