Machine Name,Bruker Avance III HD 600 MHz,,P40 - C NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 4096 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,1.26,3002.05
,,,1.26,2886.58
,,,1.27,2480.02
,,,1.27,1843.36
,,,1.27,1229.16
,,,1.27,904.74
,,,1.27,991.13
,,,1.27,1490.25
,,,1.28,2287.68
,,,1.28,3296.36
,,,1.28,4263.81
,,,1.28,4485.51
,,,1.28,3584.85
,,,1.29,2175.91
,,,1.29,1168.41
,,,1.29,893.99
,,,1.29,948.9
,,,1.29,743.36
,,,1.29,166.28
,,,1.3,-419.93
,,,1.3,-542.8
,,,1.3,-71.36
,,,1.3,514.09
,,,1.3,670.49
,,,1.31,330.85
,,,1.31,-240.87
,,,1.31,-629.19
,,,1.31,-525.49
,,,1.31,-29.92
,,,1.31,468.57
,,,1.32,587.57
,,,1.32,142.3
,,,1.32,-838.18
,,,1.32,-2100.15
,,,1.32,-3234.5
,,,1.33,-4068.67
,,,1.33,-4478.68
,,,1.33,-4127.88
,,,1.33,-3388.55
,,,1.33,-3171.96
,,,1.33,-3406.52
,,,1.34,-3490.16
,,,1.34,-3409.99
,,,1.34,-3261.7
,,,1.34,-2983.31
,,,1.34,-2568.02
,,,1.35,-2007.85
,,,1.35,-1492.11
,,,1.35,-1278.09
,,,1.35,-1368.64
,,,1.35,-1703.52
,,,1.35,-2199.41
,,,1.36,-2730.69
,,,1.36,-3228.5
,,,1.36,-3523.86
,,,1.36,-3471.1
,,,1.36,-3122.6
,,,1.37,-2517.57
,,,1.37,-1718.48
,,,1.37,-808.39
,,,1.37,270.55
,,,1.37,1377.15
,,,1.37,2088.49
,,,1.38,2312.33
,,,1.38,2409.16
,,,1.38,2582.45
,,,1.38,2682.3
,,,1.38,2675.15
,,,1.39,2639.85
,,,1.39,2365.8
,,,1.39,1735.04
,,,1.39,1014.28
,,,1.39,388.59
,,,1.39,93.98
,,,1.4,502.22
,,,1.4,1269.27
,,,1.4,1542.63
,,,1.4,1155.01
,,,1.4,565.94
,,,1.41,211.59
,,,1.41,436.54
,,,1.41,1300.28
,,,1.41,2359.02
,,,1.41,3006.28
,,,1.41,2978.92
,,,1.42,2603.47
,,,1.42,2483.56
,,,1.42,2768.87
,,,1.42,3026.85
,,,1.42,2876.9
,,,1.43,2315.47
,,,1.43,1495.65
,,,1.43,571.84
,,,1.43,-267.73
,,,1.43,-819.51
,,,1.43,-1062.15
,,,1.44,-1267.52
,,,1.44,-1591.07
,,,1.44,-1683.15
,,,1.44,-1241.07
,,,1.44,-698.01
,,,1.45,-702.74
,,,1.45,-1285.69
,,,1.45,-2091.37
,,,1.45,-2853.41
,,,1.45,-3401.85
,,,1.46,-3860.95
,,,1.46,-4565.89
,,,1.46,-5403.31
,,,1.46,-6008.31
,,,1.46,-6445.51
,,,1.46,-6801.54
,,,1.47,-6782.71
,,,1.47,-6359.38
,,,1.47,-6011.45
,,,1.47,-5961.51
,,,1.47,-5727.14
,,,1.48,-4801.01
,,,1.48,-3388.08
,,,1.48,-1930.84
,,,1.48,-480.09
,,,1.48,809.21
,,,1.48,1445.3
,,,1.49,1480.06
,,,1.49,1794.07
,,,1.49,3070.27
,,,1.49,4943.23
,,,1.49,6501.46
,,,1.5,7407.34
,,,1.5,7949.65
,,,1.5,8148.89
,,,1.5,7657.75
,,,1.5,6431.39
,,,1.5,4775.69
,,,1.51,2921.37
,,,1.51,1046.48
,,,1.51,-433.98
,,,1.51,-1060.89
,,,1.51,-920.57
,,,1.52,-594.65
,,,1.52,-334.81
,,,1.52,195.85
,,,1.52,1197.71
,,,1.52,2217.01
,,,1.52,2587.95
,,,1.53,2163.04
,,,1.53,1301.63
,,,1.53,455.19
,,,1.53,129.37
,,,1.53,560.82
,,,1.54,1343.23
,,,1.54,2179.53
,,,1.54,3272.81
,,,1.54,4565.67
,,,1.54,5877.3
,,,1.54,7260.68
,,,1.55,8290.23
,,,1.55,8374.54
,,,1.55,7763.38
,,,1.55,6999.52
,,,1.55,6238.65
,,,1.56,5518.07
,,,1.56,4806.9
,,,1.56,4038.38
,,,1.56,3239.13
,,,1.56,2329.96
,,,1.56,1270.63
,,,1.57,389.7
,,,1.57,138.15
,,,1.57,563.42
,,,1.57,1064.57
,,,1.57,1056.17
,,,1.58,893.15
,,,1.58,1256.93
,,,1.58,2104.33
,,,1.58,3127.5
,,,1.58,4217.63
,,,1.58,5042.96
,,,1.59,5187.66
,,,1.59,4646.88
,,,1.59,3819.41
,,,1.59,3235.9
,,,1.59,3147.63
,,,1.6,3393.88
,,,1.6,3709.25
,,,1.6,3887.6
,,,1.6,3880.21
,,,1.6,3793.46
,,,1.6,3674.14
,,,1.61,3623.83
,,,1.61,3743.28
,,,1.61,3789.86
,,,1.61,3555
,,,1.61,3128.55
,,,1.62,2565.84
,,,1.62,1965.57
,,,1.62,1303.77
,,,1.62,205.98
,,,1.62,-1321.1
,,,1.62,-2805.5
,,,1.63,-3960.19
,,,1.63,-4463.46
,,,1.63,-4037.32
,,,1.63,-3037.15
,,,1.63,-2048.59
,,,1.64,-1297.55
,,,1.64,-711.99
,,,1.64,-96.77
,,,1.64,788.27
,,,1.64,2141.03
,,,1.64,3696.7
,,,1.65,4695.64
,,,1.65,4863.39
,,,1.65,4619.4
,,,1.65,4199.53
,,,1.65,3558.23
,,,1.66,2818.36
,,,1.66,2364.45
,,,1.66,2518.71
,,,1.66,2969.44
,,,1.66,3113.06
,,,1.66,2903.79
,,,1.67,2536.4
,,,1.67,2051.5
,,,1.67,1695.42
,,,1.67,1660.42
,,,1.67,1707.37
,,,1.68,1734.28
,,,1.68,1960.59
,,,1.68,2194.12
,,,1.68,1908.41
,,,1.68,1169
,,,1.68,480.53
,,,1.69,78.41
,,,1.69,135.63
,,,1.69,809.32
,,,1.69,1912.48
,,,1.69,3199.92
,,,1.7,4352.08
,,,1.7,4684.98
,,,1.7,3756.73
,,,1.7,1999.23
,,,1.7,428.48
,,,1.7,-318.03
,,,1.71,-614.52
,,,1.71,-1000.22
,,,1.71,-1294.38
,,,1.71,-1198.59
,,,1.71,-830.73
,,,1.72,-557.29
,,,1.72,-725.48
,,,1.72,-1178.72
,,,1.72,-1499.22
,,,1.72,-1714.47
,,,1.72,-1831.04
,,,1.73,-1513.18
,,,1.73,-854.64
,,,1.73,-317.82
,,,1.73,-16.04
,,,1.73,40.88
,,,1.74,-454.66
,,,1.74,-1596.56
,,,1.74,-2733.13
,,,1.74,-2984.98
,,,1.74,-2204.51
,,,1.74,-1065.41
,,,1.75,-371.64
,,,1.75,-429.15
,,,1.75,-753.93
,,,1.75,-546.82
,,,1.75,300.68
,,,1.76,1222.96
,,,1.76,1823.58
,,,1.76,1965.67
,,,1.76,1743.51
,,,1.76,1692.3
,,,1.77,2041.29
,,,1.77,2400.4
,,,1.77,2779.26
,,,1.77,3427.1
,,,1.77,3981.93
,,,1.77,4210.37
,,,1.78,4524.49
,,,1.78,5189.46
,,,1.78,6029.29
,,,1.78,6666.46
,,,1.78,6650.08
,,,1.79,5861.58
,,,1.79,4928.82
,,,1.79,4786.98
,,,1.79,5438.12
,,,1.79,5800.14
,,,1.79,5262.09
,,,1.8,4198.49
,,,1.8,2880.33
,,,1.8,1287.97
,,,1.8,-267.72
,,,1.8,-1218.95
,,,1.81,-1336.03
,,,1.81,-996.82
,,,1.81,-598.69
,,,1.81,-13.43
,,,1.81,1005.32
