Machine Name,Lloyd LRX ,P35 Undamaged,1,,,2,,,3,,,4,,,P35 1 hr healing,1,,,2,,,3,,,P35 3 hr healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.91,0,,-8.51,0
,,,246.66,0.2,,169.87,0.14,,202,0.21,,207.39,0.3,,,68.6,0.17,,58.56,0.14,,63.13,0.23,,,77.66,0.18,,99.58,0.16,,92.64,0.13
,,,250,0.2,,172.3,0.14,,204.81,0.21,,210.26,0.3,,,69.68,0.17,,59.51,0.14,,64.06,0.23,,,78.85,0.18,,100.98,0.16,,94.1,0.14
,,,253.34,0.21,,174.73,0.14,,207.62,0.21,,213.13,0.3,,,70.76,0.17,,60.46,0.14,,64.99,0.23,,,80.03,0.18,,102.38,0.16,,95.56,0.14
,,,256.68,0.21,,177.15,0.14,,210.43,0.21,,216,0.3,,,71.84,0.17,,61.4,0.14,,65.92,0.23,,,81.22,0.18,,103.78,0.16,,97.02,0.14
,,,260.02,0.21,,179.58,0.14,,213.25,0.21,,218.87,0.3,,,72.92,0.17,,62.35,0.14,,66.85,0.23,,,82.4,0.18,,105.18,0.16,,98.48,0.14
,,,263.36,0.21,,182,0.14,,216.06,0.21,,221.74,0.3,,,73.99,0.17,,63.3,0.14,,67.78,0.23,,,83.58,0.18,,106.58,0.16,,99.95,0.14
,,,266.7,0.21,,184.43,0.14,,218.87,0.21,,224.61,0.3,,,75.07,0.17,,64.24,0.14,,68.71,0.23,,,84.77,0.18,,107.97,0.16,,101.41,0.14
,,,270.04,0.21,,186.85,0.14,,221.68,0.21,,227.51,0.3,,,76.15,0.17,,65.19,0.14,,69.64,0.23,,,85.95,0.18,,109.37,0.16,,102.87,0.14
,,,273.38,0.21,,189.28,0.14,,224.5,0.21,,230.44,0.3,,,77.23,0.17,,66.14,0.15,,70.57,0.24,,,87.14,0.18,,110.77,0.16,,104.33,0.14
,,,276.72,0.21,,191.71,0.14,,227.3,0.21,,233.31,0.31,,,78.31,0.18,,67.09,0.15,,71.5,0.24,,,88.32,0.18,,112.17,0.16,,105.79,0.14
