Machine Name,Agilent 1260 Infinity II GPC,P35,,,P40,,,P45,
,"2 x PLgel 5 ?m MIXED-C columns (polystyrene-divinylbenzene (PS/DVB), as well as a PLgel 5 ?m guard column at 35 °C and a flow rate of 1.0 mL.min-1 with THF containing 2.0% v/v triethylamine and 0.05% w/v BHT inhibitor as solvent.",logM,dwdlogM,,logM,dwdlogM,,logM,dwdlogM
,,5.15,0.06,,4.68,0.87,,5.38,0
,,5.15,0.06,,4.68,0.88,,5.38,0
,,5.15,0.06,,4.68,0.88,,5.37,0
,,5.14,0.06,,4.67,0.89,,5.37,0.01
,,5.14,0.07,,4.67,0.9,,5.36,0.01
,,5.13,0.07,,4.66,0.9,,5.36,0.01
,,5.13,0.07,,4.66,0.91,,5.36,0.01
,,5.13,0.07,,4.66,0.91,,5.35,0.01
,,5.12,0.08,,4.65,0.92,,5.35,0.01
,,5.12,0.08,,4.65,0.92,,5.34,0.01
,,5.12,0.08,,4.64,0.93,,5.34,0.01
,,5.11,0.09,,4.64,0.93,,5.34,0.01
,,5.11,0.09,,4.64,0.94,,5.33,0.01
,,5.1,0.09,,4.63,0.94,,5.33,0.01
,,5.1,0.09,,4.63,0.94,,5.33,0.01
,,5.1,0.1,,4.62,0.95,,5.32,0.01
,,5.09,0.1,,4.62,0.95,,5.32,0.01
,,5.09,0.1,,4.62,0.96,,5.31,0.01
,,5.08,0.11,,4.61,0.96,,5.31,0.01
,,5.08,0.11,,4.61,0.96,,5.31,0.01
,,5.08,0.11,,4.6,0.97,,5.3,0.01
,,5.07,0.12,,4.6,0.97,,5.3,0.01
,,5.07,0.12,,4.6,0.97,,5.29,0.01
,,5.06,0.13,,4.59,0.97,,5.29,0.01
,,5.06,0.13,,4.59,0.98,,5.29,0.01
,,5.06,0.13,,4.58,0.98,,5.28,0.01
,,5.05,0.14,,4.58,0.98,,5.28,0.01
,,5.05,0.14,,4.58,0.98,,5.27,0.01
,,5.04,0.15,,4.57,0.98,,5.27,0.01
,,5.04,0.15,,4.57,0.99,,5.27,0.02
,,5.04,0.16,,4.56,0.99,,5.26,0.02
,,5.03,0.16,,4.56,0.99,,5.26,0.02
,,5.03,0.16,,4.56,0.99,,5.25,0.02
,,5.02,0.17,,4.55,0.99,,5.25,0.02
,,5.02,0.17,,4.55,0.99,,5.25,0.02
,,5.02,0.18,,4.54,0.99,,5.24,0.02
,,5.01,0.18,,4.54,0.99,,5.24,0.02
,,5.01,0.19,,4.54,0.99,,5.23,0.02
,,5,0.19,,4.53,0.99,,5.23,0.02
,,5,0.2,,4.53,1,,5.23,0.02
,,5,0.2,,4.52,1,,5.22,0.02
,,4.99,0.21,,4.52,1,,5.22,0.03
,,4.99,0.22,,4.52,1,,5.21,0.03
,,4.98,0.22,,4.51,1,,5.21,0.03
,,4.98,0.23,,4.51,1,,5.21,0.03
,,4.98,0.23,,4.5,1,,5.2,0.03
,,4.97,0.24,,4.5,1,,5.2,0.03
,,4.97,0.24,,4.5,1,,5.19,0.03
,,4.96,0.25,,4.49,1,,5.19,0.03
,,4.96,0.26,,4.49,1,,5.19,0.03
,,4.96,0.26,,4.48,1,,5.18,0.04
,,4.95,0.27,,4.48,1,,5.18,0.04
,,4.95,0.27,,4.48,1,,5.17,0.04
